ditta_cg18;clifor_cg44;ragione_sociale;listino;email
1;3847;"CASA DOLCE CASA DI ZHU ALICE";3847;casadolcecasa8888@gmail.com
1;3857;"LOVELY HOME SRL";3857;LOVELYHOMESRL24@GMAIL.COM
1;3867;"IL TABACCAIO MATTO DI DANIELA PROSPERI";3867;iltabaccaiomatto05@gmail.com
1;28151;"TABACCHI RIV.59 CARTOLERIA CANCELLERIA DI FIGLIA STEFANO";28151;stefanomariadifiglia@hotmail.it
1;28162;"MONDO UFFICIO DI PONZANELLI SAMANTHA";28162;mondoufficioscuolasarzana@gmail.com
1;28172;"SCUOLA UFFICIO DI FABIANA RAFFAELI & C. SAS";28172;scuolaufficio@hotmail.com
1;28176;"CARTOLIBRERIA COPPO SAS";28176;cartolibricoppo@gmail.com
1;28649;"I&L FIRENZE DI VENTURA E LOGI SAS";28649;iandlpelletterie@gmail.com
1;28672;"OFFICE GROUP SRL";28672;info@officegroupsrl.com
1;28721;"SESSANTA BPM SRL";28721;carloferrari@mondadoriparma.it
1;28816;"DIENGI' DISTRIBUZIONE DI DAMBRA RUGGERO";28816;diengidistribuzione@gmail.com
1;29110;"PARTY POINT SRL";29110;Hegaofu86@gmail.com
1;29127;"I SOGNI A COLORI DI MONICA MINERVINO";29127;isogniacolori@gmail.com
1;29159;"ARGON SRL";29159;amministrazione@argonsrl.it
1;29306;"BATTISTELLA SRL";29306;info@battistellasrl.it
1;29309;"CLAREMA SAS DI BALISARI ANDREA & C.";29309;andreabelisari@virgilio.it
1;29372;"CARTOLERIA 8° NANO DI MELONI DEMETRIO";29372;demetriomeloni@tiscali.it
1;31027;"LO SCOLARO DI LOBINA ANTONINO SAS";31027;loscolaro@tiscali.it
1;33297;"3M ITALIA SRL";33297;mbalestrazzi1@mmm.com
1;34338;"WONDERLAND L'MPORIO DELLE MERAVIGLIE DI MAINONI MARCELLO";34338;info@mainoni.com
1;34339;"MAD S.R.L.";34339;info@madprint.it
1;34340;"LE FAVOLE DI CAPPELLINI CLAUDIA MICHELA";34340;favolecosmo@gmail.com
1;34341;"IL TUO GIOCATTOLO DI BELTRAMI MERI";34341;meri.beltrami@alice.it
3;6;"3M ITALIA SRL";6;mbalestrazzi1@mmm.com
3;9;"CASIO ITALIA SRL";9;info@mauriziomonti.it
3;12;"BIC ITALIA SPA";12;giovanni.oddone@bicworld.com
